Term,Definition
liminal,adj. At a boundary or transitional state
lissome,adj. Graceful and flexible in movement
lugubrious,adj. Mournful or gloomy in manner
luminous,adj. Bright or radiant; insightful
maudlin,adj. Overly sentimental or tearful
mellifluous,adj. Sweetly or smoothly flowing (sound)
mendacious,adj. Dishonest or lying
meretricious,adj. Flashy but lacking sincerity
metonymy,n. Substituting a related term for another
miasma,n. A noxious atmosphere or influence
milieu,n. Social or cultural environment
minatory,adj. Threatening or menacing
multifarious,adj. Having great variety or diversity
munificent,adj. Extremely generous or lavish
nebulous,adj. Vague or unclear; cloudlike
nescience,n. Ignorance or lack of knowledge
nictitate,v. To wink or blink
nocuous,adj. Harmful or poisonous
noetic,adj. Related to intellect or pure thought
numinous,adj. Spiritual or awe-inspiring
obfuscate,v. To confuse or make unclear
obstreperous,adj. Noisy or difficult to control
oleaginous,adj. Oily or excessively flattering
opprobrium,n. Public disgrace or harsh criticism
orotund,adj. Full, rich, or pompous in speech
ostentatious,adj. Showy to attract attention
palimpsest,n. A manuscript with layers of erased text
palindrome,n. A word or phrase reading the same backward
panacea,n. A cure for all problems or diseases
paroxysm,n. A sudden outburst of emotion or action
pecuniary,adj. Related to money or finances
penumbra,n. A partial shadow or ambiguous area
percipient,adj. Perceptive or insightful
perfidious,adj. Deceitful or untrustworthy
peripatetic,adj. Traveling from place to place
perspicuous,adj. Clearly expressed; easy to understand
phantasmagoria,n. A shifting series of illusions or images
phlegmatic,adj. Calm or unemotional in temperament
picaresque,adj. Relating to a roguish adventurer’s tale
plangent,adj. Loud and mournful in sound
pleonasm,n. Using more words than necessary
polyglot,adj. Speaking or knowing multiple languages
portentous,adj. Ominous or foreboding; self-important
propinquity,n. Proximity or kinship; similarity
propitiate,v. To appease or gain favor
prosaic,adj. Commonplace or lacking imagination
puerile,adj. Childish or immature
pulchritude,n. Physical beauty
quixotic,adj. Unrealistically optimistic or impractical
rebarbative,adj. Repellent or irritating
recalcitrant,adj. Stubbornly resistant to authority
redolent,adj. Fragrant or suggestive of something
refractory,adj. Stubborn or unmanageable
refulgent,adj. Radiant or shining brightly
remonstrate,v. To protest or object strongly
risible,adj. Laughable or causing amusement
sagacious,adj. Wise or shrewd
salubrious,adj. Health-promoting or beneficial
sangfroid,n. Coolness under pressure
sartorial,adj. Related to tailoring or clothing style
scintilla,n. A tiny trace or spark
serendipity,n. Finding something valuable by chance
sibilant,adj. Hiss-like in sound
simulacrum,n. An image or representation, often inferior
sinecure,n. A job requiring little work but high prestige
solecism,n. A grammatical error or social blunder
somnolent,adj. Sleepy or drowsy
stentorian,adj. Loud and powerful in voice
susurrus,n. A soft, whispering or rustling sound
sybaritic,adj. Devoted to luxury or pleasure
syllogism,n. A logical argument with two premises and a conclusion
taciturn,adj. Reserved or uncommunicative
temerity,n. Boldness or audacity
tenebrous,adj. Dark, shadowy, or obscure
torpid,adj. Sluggish or inactive
truculent,adj. Aggressively defiant or hostile
turgid,adj. Swollen or overly complex in style
ubiquitous,adj. Present everywhere
ululate,v. To howl or wail mournfully
umbrage,n. Offense or resentment
unconscionable,adj. Unreasonably excessive or immoral
vagary,n. An unpredictable action or whim
verisimilitude,n. The appearance of being true or real
vicissitude,n. A change in circumstances or fortune
vituperate,v. To criticize harshly or abusively
voluble,adj. Talkative or fluent in speech
wunderkind,n. A young person with exceptional talent
xenophobic,adj. Fearful or distrustful of foreigners
yammer,v. To complain or talk loudly
zeitgeist,n. The spirit or mood of a particular time
